id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5eac2efe4efbe80621541711,33,Male,Graduate or professional degree,top left,circle,310.0,248.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,213.18949394981573
5ef1bf65b681b07df6e7ef80,19,Female,"Some college, no degree",top left,square,150.9090909090909,125.45454545454545,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,14.91601834625397
5dd06ed53c870a1526a78264,43,Female,Bachelor's degree,right,circle,178.1818181818182,272.7272727272727,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,246.13118856307315
5bf7290ed5ec8200015d07e7,44,Male,Bachelor's degree,bottom left,triangle,310.0,38.18181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,388.50943169039886
5ecdb3258b053d00091ea370,28,Male,Bachelor's degree,top left,square,344.54545454545456,163.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,212.0942601925181
5f41ee9d6360b83b49ec8bbc,20,Male,"Some college, no degree",top left,triangle,360.9090909090909,176.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,230.6996365711259
5e731cb7f23ae1273679466b,34,Male,Bachelor's degree,bottom left,square,287.27272727272725,209.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,222.4021560333093
5eacaaf0fb58ff330a48192b,27,Female,Bachelor's degree,top left,circle,334.54545454545456,303.6363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,267.07910426292113
5c18d1b3fcc26200011806c2,22,Male,"Some college, no degree",bottom left,square,344.54545454545456,164.54545454545453,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,290.2402680937649
5ee353094820c601bb578966,26,Male,High school graduate (includes equivalency),bottom left,circle,191.8181818181818,384.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,22.68887665722879
5f54013576d61476bfdd5118,27,Female,Bachelor's degree,bottom left,triangle,292.7272727272727,179.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,251.585862641349
5cdeae8d055c2e001a0c5308,32,Female,"Some college, no degree",bottom left,square,292.7272727272727,298.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,153.85269868468987
5dce29700ad506063969a4a5,37,Female,"Some college, no degree",right,kite,139.0909090909091,345.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,317.31606893333617
5f16c3aa4862ae8532b4216e,45,Female,Bachelor's degree,right,triangle,157.27272727272728,217.27272727272725,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,246.9912836819875
